,cluster
144178,1
212464,8
46159,1
85086,3
254589,2
286377,2
128258,3
85669,8
259226,8
126990,6
130535,5
118457,4
254141,5
235512,5
161573,5
230219,3
24571,2
93290,6
211435,6
147001,0
173976,7
185468,4
137332,1
224240,4
238643,8
136629,8
151598,4
212119,3
220780,7
93033,6
176052,6
42209,0
211869,6
280363,3
259187,3
53261,3
125205,4
217620,2
152292,6
49722,4
181338,8
128286,3
181371,8
252996,3
13649,5
44663,8
239107,1
31962,2
242989,5
259817,5
245973,1
62567,8
73855,2
63706,1
61914,3
265313,5
196018,2
49231,7
72014,1
241848,3
136235,3
47170,5
277113,6
27853,0
135507,6
144638,5
65949,2
123638,2
283964,5
135053,6
178909,7
136158,3
296001,3
60711,6
243145,2
2863,1
162588,7
100599,4
119,3
27719,0
299899,0
175531,0
208441,1
84469,3
269733,0
66793,7
247672,4
286948,4
277658,8
194722,1
209282,2
250571,5
207198,3
212852,1
35630,3
281198,1
246665,2
280528,3
226513,1
288462,1
234943,8
9639,6
140257,7
117856,2
135016,6
177323,1
30700,1
231772,5
215653,6
170311,6
178912,7
202333,6
237750,6
9310,6
12916,1
135261,6
179419,4
233138,4
14231,5
109064,6
38098,5
198218,3
177056,8
30133,1
223967,7
49959,4
204992,7
176000,6
61297,6
141829,6
228431,4
109672,3
219410,3
696,3
137317,1
181354,8
31069,5
253316,8
55959,5
205354,7
284290,2
119197,0
224314,0
86574,1
191412,7
37119,1
211643,6
101668,0
149325,1
25988,7
112512,2
63429,1
16,3
69789,6
199700,5
100105,4
200492,2
263667,0
133781,4
831,3
189080,1
78407,8
34661,6
78236,8
290262,6
162937,7
116901,1
268481,5
215901,3
219821,1
137276,1
208414,1
111976,5
66934,7
65791,2
148753,8
192775,0
132136,7
68030,4
87908,5
125032,4
80515,2
175419,0
230538,8
4244,5
256165,3
244392,0
48086,2
26370,4
177641,1
157717,0
205927,0
56073,5
101889,6
15024,2
259881,5
174837,4
255774,6
175148,0
240593,4
225584,8
94411,3
11369,8
80276,5
217956,7
150510,2
58009,7
251611,4
70064,6
159266,8
5863,7
223248,5
250128,5
